"x"
"1",1
"2",2
"3",4
"4",5
"5",6
"6",7
"7",11
"8",19
"9",24
"10",25
"11",26
"12",27
"13",28
"14",31
"15",35
"16",36
"17",38
"18",39
"19",40
"20",42
"21",44
"22",48
"23",50
"24",55
"25",57
"26",58
"27",59
"28",60
"29",62
"30",63
"31",64
"32",65
"33",68
"34",71
"35",73
"36",74
"37",75
"38",78
"39",79
"40",83
"41",87
"42",88
"43",90
"44",96
"45",97
"46",100
"47",101
"48",105
"49",106
"50",107
"51",110
"52",112
"53",115
"54",116
"55",119
"56",121
"57",123
"58",126
"59",127
"60",129
"61",132
"62",135
"63",137
"64",139
"65",140
"66",143
"67",145
"68",146
"69",147
"70",152
"71",153
"72",154
"73",157
"74",160
"75",161
"76",164
"77",165
"78",166
"79",172
"80",174
"81",176
"82",178
"83",180
"84",181
"85",183
"86",185
"87",186
"88",187
"89",188
"90",189
"91",190
"92",192
"93",194
"94",195
"95",197
"96",203
"97",204
"98",207
"99",208
"100",210
"101",211
"102",212
"103",215
"104",220
"105",221
"106",228
"107",229
"108",236
"109",244
"110",247
"111",248
"112",249
"113",252
"114",254
"115",256
"116",257
"117",260
"118",266
"119",269
"120",271
"121",272
"122",275
"123",280
"124",282
"125",283
"126",284
"127",286
"128",288
"129",290
"130",291
"131",297
"132",299
"133",304
"134",307
"135",309
"136",310
"137",311
"138",318
"139",320
"140",322
"141",323
"142",324
"143",330
"144",331
"145",332
"146",336
"147",340
"148",341
"149",343
"150",344
"151",346
"152",348
"153",349
"154",351
"155",352
"156",356
"157",357
"158",361
"159",363
"160",367
"161",368
"162",370
"163",373
"164",374
"165",377
"166",379
"167",380
"168",384
"169",385
"170",388
"171",393
"172",401
"173",403
"174",404
"175",406
"176",407
"177",408
"178",417
"179",418
"180",421
"181",422
"182",423
"183",424
"184",426
"185",431
"186",432
"187",434
"188",436
"189",443
"190",444
"191",445
"192",446
"193",447
"194",448
"195",450
"196",451
"197",455
"198",458
"199",460
"200",461
"201",464
"202",465
"203",466
"204",468
"205",471
"206",475
"207",476
"208",478
"209",480
"210",484
"211",485
"212",487
"213",488
"214",490
"215",493
"216",494
"217",495
"218",496
"219",498
"220",499
